Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,FT50,PDF
Quantifying the Benefits of New Products: The Case of the Minivan.,"Petrin, Amil",Journal of Political Economy,00223808,,Aug2002,110,4,705,25,7174617,,University of Chicago Press,Article,New product development; Supply & demand; Econometric models; Market penetration; Market share; Commercial products; Commodity Contracts Dealing; Commodity Contracts Brokerage; Marketing Consulting Services,,"This paper proposes a technique for obtaining more precise estimates of demand and supply curves when one is constrained to market-level data. The technique allows one to augment market share data with information relating consumer demographics to the characteristics of the products they purchase. This extra information plays the same role as consumer-level data, allowing estimated substitution patterns and (thus) welfare to directly reflect demographic-driven differences in tastes for observed characteristics. I apply the technique to the automobile market, estimating the economic effects of the introduction of the minivan. I show that models estimated without micro data yield much larger welfare numbers than the model using them, primarily because the micro data appear to free the model from a heavy dependence on the idiosyncratic logit “taste” error. I complete the welfare picture by measuring the extent of first-mover advantage and profit cannibalization both initially by the innovator and later by the imitators. My results support a story in which large improvements in consumers' standard of living arise from competition as firms cannibalize each other's profits by seeking new goods that give them some temporary market power.",FT50,Y
The effects of exposure-order and market entry-information on brand preference: a dual process model.,"Niedrich, Ronald W.; Swain, Scott D.",Journal of the Academy of Marketing Science,00920703,,Fall2008,36,3,309,13,33950226,,Springer Science & Business Media B.V.,Article,Consumer behavior; Electronic commerce; Internet marketing; Market entry; Marketing strategy; First-mover advantage; Electronic Shopping; Electronic shopping and mail-order houses,,"The article discusses brand preference. The authors propose a dual process model meant to identify two separate and additive effects that may be related to consumer brand preference. The two effects, exposure-order effect and market entry-information effect, are defined and described, especially as they relate to information products. Topics include attribute encoding, preference construction, and first-mover advantage. Also discussed are consumer preference for first-in-market brands and occasions when second-encountered brands are preferred by consumers.",FT50,Y
Uncertain Innovation and the Persistence of Monopoly: Comment.,"Gilbert, Richard J.; Newbery, David M. G.",American Economic Review,00028282,,Mar1984,74,1,238,5,4510403,,American Economic Association,Article,"Patents; Monopolies; Economic models; Free enterprise; Intellectual property; Managerial economics; Market entry; Offices of Lawyers; All Other Legal Services; Reinganum, Jennifer",,"In her 1983 article, economist Jennifer Reinganum offers a counterexample to authors' earlier claim that preemptive patenting applies to situations where success in a patent race is uncertain. It is true that Reinganum's model includes uncertainty, and in her model an incumbent would not preempt competitors but uncertainty is not the reason why her results differ from authors'. Rather, the differences are the consequence of 1) a different assumption about timing of moves in the R&D game, 2) the absence of free entry, and 3) assumed diseconomies in the management of the firm. Although it is useful to call attention to the importance of these assumptions, it is equally important to understand why they lead to different conclusions. In their 1982 article, authors assumed that the incumbent had a first-mover advantage, and that he could credibly commit himself to a strategy that would make entry unprofitable. Potential entrants, observing this already chosen and committed strategy, would then choose to stay out, whether or not the subsequent race was deterministic or stochastic. In Reinganum's model, the entrant and the incumbent simultaneously choose their expenditure rates, and the incumbent has no first-mover advantage.",FT50,Y
An Experimental Study of Sequential Bargaining.,"Ochs, Jack; Roth, Alvin E.",American Economic Review,00028282,,Jun89,79,3,355,30,4506359,,American Economic Association,Article,Economic equilibrium; Collective bargaining; Decision making; Bribery; Negotiation in business; Money; Economics; Sequential analysis; Scientific experimentation,,"In a study of alternating offer bargaining with discounting, perfect equilibrium was found to have little predictive power, under the conventional assumption that bargainers' utility is measured by their monetary payoffs. Instead, our data exhibit a first-mover advantage, independent of the equilibrium prediction. However the pattern of rejected offers and counterproposals shows bargainers' utility was not measured by their monetary payoffs: 81 percent of rejected offers were followed by counterproposals that would earn less money. We also reanalyze data from earlier experiments, finding a similar pattern of rejections and counterproposals.",FT50,Y
Market Provision of Custom Software: Learning Effects and Low Balling.,"Whang, Seungjin",Management Science,00251909,,Aug1995,41,8,1343,10,9512092081,,INFORMS: Institute for Operations Research,Article,Market entry; Technological innovations & economics; Bid price; Strategic planning; Profit margins; Pricing; Management science research; Custom Computer Programming Services; Computer systems design and related services (except video game design and development); Computer software development -- Economic aspects; Software engineering -- Economic aspects,Bidding; Custom software; low-balling; Software economics,"Due to reusability of program code and learning effects in software development, development cost of custom software typically decreases in time and experience. This creates a first-mover advantage to software developers. The paper studies whether the benefits of declining development costs are passed on to buyers in the form of lower prices when developers bid strategically. By using a model of bidding auctions we characterize equilibrium bidding strategies of two software developers. In order to become the first mover and attain future market dominance, developers find it optimal to forgo profits from the first projects. As a result, bid prices ( = development cost plus a profit margin to the developer) to the first buyers may not necessarily decrease over time, and even if so, not as fast as development cost drops. We also show that bidders expect a higher profit margin from a high-variance project. Thus, if there exist high-variance projects in the future, developers are more likely to submit below-cost bid prices or ""low-ball.""",FT50,Y
NETWORK STRUCTURE EFFECTS ON INCUMBENCY ADVANTAGE.,JEHO LEE; JAEYONG SONG; JAE-SUK YANG,Strategic Management Journal,01432095,,Aug2016,37,8,1632,17,117243027,10.1002/smj.2405,Wiley-Blackwell,Article,Network effect; Organizational structure; Social networks; First-mover advantage; Decision making; Consumers; Other Individual and Family Services; Social distance,advantage; entry; network; small world; technology,"Research summary: The literature on network effects has implicitly assumed that an increase in the size of the installed base magnifies network effects, which is a source of incumbency advantage. We argue that the overemphasis on this relationship has resulted in controversy and confusion in the literature, where the role of social networks remains largely unaddressed. By developing computational models of network effects with various network structures, we show that social distance in a customer network plays a moderating role that strengthens or weakens the relationship between the installed base and network effects, which in turn, affects the durability of incumbency advantage. When the average social distance between members in a customer network is large, the incumbency advantage will not be amplified, and an entrant with an incompatible product or service may find ways into the market. On the other hand, when the average social distance is small, early entry with a growing installed base will magnify incumbency advantage. Managerial summary: In evaluating the strength of incumbency advantage or determining the price of an early mover, the size of the installed base has been widely used. We find that it is not a sufficient statistic, and confusion and error appear to result from assuming that it is. Our study suggests that degrees of separation, a measure of social distance in a network, can provide managers with an additional yardstick to sharpen their evaluation. When customer networks are characterized by fewer degrees of separation, the conventional use of the installed base as a metric may be reasonable. On the other hand, when customer networks are characterized by larger degrees of separation, the conventional use may potentially mislead managers in their decision-making. Thinking about the roots of user benefits (e.g., access to a few significant others vs. hubs) may be a reasonable starting point for assessing degrees of separation in a customer network.",FT50,Y
PRODUCT AND PRICE COMPETITION IN A DUOPOLY.,"Moorthy, K. Sridhar",Marketing Science,07322399,,Spring88,7,2,141,28,4478073,,INFORMS: Institute for Operations Research,Article,Pricing; Commerce; Consumer behavior; Manufactures; Decision making; Cost accounting; Mathematical models; Product management; All other miscellaneous manufacturing; All Other Miscellaneous Manufacturing; Competition,Game Theory.; Pricing Strategy; Product Strategy,"This paper examines the role of consumer preferences, costs, and price competition in determining the competitive product strategy of a firm. In the model studied here, there are two identical firms competing on product quality and price. They face consumers who prefer a higher quality product to a lower quality product, but differ in how much they are willing to pay for quality. The consumers can also choose a substitute if they don't like the product-price offerings of the two firms. For the firms, a higher quality product costs more to produce than a lower quality product. The paper shows that the equilibrium strategy for each firm should be to differentiate its product from its competitor, with the firm choosing the higher quality choosing the higher margin as well. This differentiation, however, is not efficient--that is, it is possible to choose two other products and offer them at prices that cover their marginal cost, and still satisfy consumers' ""needs"" better in the aggregate. A monopolist, by contrast, would differentiate his product line efficiently. This suggests that cannibalization has different effects on product strategy than competition. The paper also shows that if one firm enters the market first, then it can defend itself from later entrants, and gain a first-mover advantage, by preempting the most desirable product position.",FT50,Y
Profits and the Internet: Seven Misconceptions.,"Rangan, Subramanian; Adner, Ron",MIT Sloan Management Review,15329194,,Summer2001,42,4,44,10,4834377,,Sloan Management Review,Article,Internet; Business planning; Success in business; Electronic commerce; Industrial management; Wired Telecommunications Carriers; Internet Publishing and Broadcasting and Web Search Portals; Electronic shopping and mail-order houses; Electronic Shopping,,"The Internet has created new markets, customers, products and modes of conducting business. But it also has given currency to some dangerous half-truths. Admonishing Internet businesses to ""stop grabbing the land and start cultivating it,"" Subramanian Rangan and Ron Adner, professors of management and strategy at INSEAD in France, explain why seven popular strategies are not the path to profitable growth. First-mover advantage, for example, gets too much credit for e-business success. Companies believe that they can lock in customers and trigger a winner-take-all dynamic, but there is no guarantee that those benefits will go to first movers. The allure of reach -- increasing the number of customer segments -- causes many companies to ignore fit, the coherence with which their activities reinforce one another. Digital Equipment Corp. paid the price when it sacrificed fit to reach, attempting to make PCs, workstations, minicomputers and mainframes under one roof. Another tempting growth strategy is to provide customer solutions, offering products or services that complement a company's core offering. But offering solutions can dilute a company's focus. Targeting the right Internet sector is one way to maintain focus. When companies view the Internet as undifferentiated landscape, they are less able to distinguish the drivers of customer value and performance -- or the metrics to measure them. Some companies see best-of-breed-partner leverage as the secret of profitable growth. But although the Internet makes it easier and cheaper to align activities across company boundaries, it does not do much to align interests -- a requirement for the creation of joint value. Another misconception is the belief that an Internet business will automatically be successful abroad. As MTV, Wal-Mart and Honda discovered, companies first must be successful at home and then move outward in a way that accommodates local differences. The last, and perhaps most dangerous, misconception is managers' belief that technology can substitute for strategy. Technology and strategy are strong complements. Companies that understand their technology better than they understand their customers and competition won't succeed in any economy, old or new. The authors provide thoughtful guidelines for avoiding misconceptions and taking a sensible approach to business on the Internet.",FT50,Y
Public Disclosure of Forward Contracts and Revelation of Proprietary Information.,"Hughes, John S.; Kao, Jennifer L.; Williams, Michael",Review of Accounting Studies,13806653,,Dec2002,7,4,459,20,9964699,,Springer Science & Business Media B.V.,Article,Financial executives; Disclosure; Contract proposals; Business enterprises; Financial disclosure; Competition,disclosure; first- mover advantage; forward contracts; private in formation,"Financial executives of firms engaged in forward contracting have raised concerns that mandated disclosure of those contracts would reveal proprietary information to rival firms. This paper considers the basis for those concerns in the framework of' a duopoly in which one privately informed producer enters the forward market prior to production. In choosing its forward position, the firm considers the effects of that position on the forward price and second stage product market competition with its rival. Two regimes are considered: mandated disclosure and no disclosure. Under the former, the contracting firm faces a tension between exploiting its information advantage in the forward market and attempting to influence the production decision of its rival. On average, in equilibrium, the contracting firm gains a first-mover advantage, but at the cost of revealing its private information to its rival and extracting less expected gains from uninformed forward market participants. In contrast, with no disclosure, the contracting firm cannot influence rival firm beliefs, but extracts more expected gains from its private information in both the forward and product markets. On balance, the contracting firm prefers no disclosure. Moreover, parameterizations exist such that the rival also prefers that regime. These findings explain the opposition of respondents to draft proposals of Statement of' Financial Standards No. 133.",FT50,Y
Strategies for Survival in Fast-Changing Industries.,"Christensen, Clayton M.; Suárez, Fernando F.; Utterback, James M.",Management Science,00251909,,Dec1998 Part 2 of 2,44,12,S207,14,1659821,,INFORMS: Institute for Operations Research,Article,Data disk drives industry; Technological innovations; Market entry; Strategic planning; Success in business; Market segmentation; Marketing strategy; Industrial design; Product design; Industrial Design Services; Technology management; Data disk drives -- Design & construction; Probability measures,Disk Drives; Dominant Designs; Innovation; Standards; Strategy; Technology,"Technology strategy variables tend to predominate as predictors of survival in the fast-changing rigid disk drive industry. Building on these previous studies, we here test the hypothesis that the technological and market strategies of a new entrant are highly interrelated and that their joint effect plays an important role in a firm's probability of survival. In particular, we propose that firms that target new market segments with an architectural innovation will tend to be more successful than those that target existing markets or innovate in component technology, even after controlling for all the competing predictors of survival. This paper advances the existing literature on innovation by tracing the main technical elements of a dominant design in the rigid disk drive industry over time, and provides a much more rigorous definition of the concept of a dominant design than we have had in the past. We find the notion of first-mover advantage is not applicable in the rigid disk drive industry. Instead, we propose the idea of an entry-window tightly linked to the emergence of the dominant product design as defined.",FT50,Y
Sustainable Pioneering Advantage? Profit Implications of Market Entry Order.,"Boulding, William; Christen, Markus",Marketing Science,07322399,,Summer2003,22,3,371,22,11080799,,INFORMS: Institute for Operations Research,Article,Consumer goods; Industrial goods; Market entry; Product positioning; Market share; Market positioning; Consumer education; Marketing strategy; Commercial products; Marketing science; Commodity Contracts Dealing; Commodity Contracts Brokerage; All Other Consumer Goods Rental; Other Commercial and Industrial Machinery and Equipment Rental and Leasing,Firm Performance; IV-Estimation; New Product Marketing; Pioneering Advantage,"There is strong theoretical and empirical evidence supporting the idea that ""first-to-market"" leads to an enduring market share advantage. In sharp contrast to these findings, we find that at the business unit level being first-to-market leads, on average, to a long-term profit disadvantage. This result holds for a sample of consumer goods as well as a sample of industrial goods and leads to questions about the validity of first mover advantage, in and of itself, as a strategy to achieve superior performance. We replicate the typical demand-side pioneering advantage but find an even greater average cost disadvantage, which is the source of the pioneering profit disadvantage. In an extended analysis, we show that first-to-market leads to an initial profit advantage, which, depending on the sample or profit measure, lasts for about 12 to 14 years before turning into a disadvantage. Moreover, we show that pioneers differentially benefit from a lack of consumer learning, a strong market position and patent protection. These three moderating factors together can actually help pioneers achieve a sustainable profit advantage over later entrants. Finally, we find strong support for the theoretical argument that the entry order decision should be treated as endogenous in empirical estimation.",FT50,Y
Wal-Mart's Impact on Supplier Profits.,"Huang, Qingyi; Nijs, Vincent R; Hansen, Karsten; Anderson, Eric T",Journal of Marketing Research (JMR),00222437,,Apr2012,49,2,131,13,74279099,10.1509/jmr.10.0256,American Marketing Association,Article,Suppliers; Profit; Retail industry research; Market entry; Expansion (Business); Shipment of goods; Wholesale prices; Product lines; Product mixes; Dealers (Retail trade); Distributors (Commerce); Follower advantage; First-mover advantage; Value chains; Wal-Mart Stores Inc.; All other merchant wholesalers; All other miscellaneous general merchandise stores; All Other Miscellaneous Store Retailers (except Tobacco Stores); All other miscellaneous store retailers (except beer and wine-making supplies stores); Influence (Psychology),assortment; market entry; product line; shipments; supplier profits; Wal-Mart; wholesale prices,"Previous academic research on the expansion of dominant retailers such as Wal-Mart has examined implications for incumbent retailers, consumers, and the local community. Little is known, however, about Wal-Mart's influence on suppliers' performance. Manufacturers suggest that Wal-Mart uses its power to squeeze their profits. In this article, the authors study the validity of this claim. They investigate the underlying mechanisms that may cause changes in manufacturer profits following Wal-Mart market entry. The data contain information on supplier interactions with retail stores, including Wal-Mart, for a period of five years. They find that postentry supplier profits increased by 18%% on average, whereas profits derived from incumbent retailers decreased only marginally. Their results show that wholesale prices are not the main driver of postentry supplier profit changes; market expansion is. They observe a significant increase in shipments to 50%% of markets studied. Furthermore, their analyses demonstrate that supplier shipment and profit increases are highest for markets in which incumbents offer a wide variety of products and carry items that Wal-Mart does not sell.",FT50,Y
"Brand Retrieval, Consideration Set Composition, Consumer Choice, and the Pioneering Advantage.","Kardes, Frank R.; Kalyanaram, Gurumurthy; Chandrashekaran, Murali; Dornoff, Ronald J.",Journal of Consumer Research,00935301,,Jun93,20,1,62,14,9308307252,,Oxford University Press / USA,Article,Brand choice; First-mover advantage; Consumer behavior; Consumer preferences; Brand name products; Decision making; Follower advantage; Competitive advantage in business; Marketing strategy; New product development -- Marketing; Marketing Consulting Services; Cognition; Consumer behavior research,,"Recent research on the pioneering advantage has shown that consumers often prefer pioneering brands to follower brands. Recent research on consumer choice suggests that information about brands is filtered through a series of sequential cognitive processes. This study attempts to integrate these two separate lines of research by investigating the effects of pioneering on each stage of the multistage decision process. A within-subjects longitudinal experiment was conducted to simulate brand order of entry into a new market. We also developed a sequential logit model to isolate the direct impact of pioneering on each stage of the decision process while controlling for indirect effects of pioneering on previous stages. The results revealed that the pioneering brand (vs. followers) is more likely to be retrieved, considered, and selected. Moreover, the results revealed that consumers are more likely to bypass consideration set formation when the choice decision is simple (vs. complex). Theoretical and practical implications of the results are discussed.",FT50,Y
Exploring firm characteristics that differentiate leaders from followers in industry merger waves: a competitive dynamics perspective.,"Haleblian, Jerayr (John); McNamara, Gerry; Kolev, Kalin; Dykes, Bernadine J.",Strategic Management Journal,01432095,,Sep2012,33,9,1037,16,77656383,10.1002/smj.1961,Wiley-Blackwell,Article,Consolidation & merger of corporations -- Management; Strategic planning; Economic research; Marketing strategy; Management research; Organizational goals; Strategic enterprise management; Diversification in industry; First-mover advantage; Follower advantage; Economic competition; Research and Development in the Social Sciences and Humanities; Business planning -- Management,awareness-motivation-capability; competitive dynamics; merger waves,"Research in strategic management has shown that the timing of firm participation in a merger wave matters, as early movers have been shown to outperform later ones. However, while the consequences of the timing of action within a merger wave have been assessed, the causes that drive these timing effects remain unknown. We draw on the competitive dynamics perspective to investigate firm-level factors that influence the large-scale strategic behavior of leading or following within industry merger waves. We develop hypotheses based on the competitive dynamics argument that the awareness-motivation-capability of firms will influence the timing of competitive action. Consistent with this perspective, we show that a firm's strategic orientation, its structure, and its resource base influence the timing of firm entry in merger waves. Copyright © 2012 John Wiley & Sons, Ltd.",FT50,Y
Fast-mover advantages: Speed capabilities and entry into the emerging submarket of atlantic basin LNG.,"Hawk, Ashton; Pacheco-De-Almeida, Gonçalo; Yeung, Bernard",Strategic Management Journal,01432095,,Dec2013,34,13,1531,20,91557223,10.1002/smj.2085,Wiley-Blackwell,Article,Market entry; Marketing strategy; First-mover advantage; Competitive advantage in business; Financial performance; Management research,firm capabilities; first-mover advantages; new market entry; project management; speed; strategy dynamics,"Entry timing benefits and costs typically vary with firms' capabilities. In this study, we empirically examine the entry timing implications of firms' intrinsic speed capabilities, which refer to the ability to execute investment projects faster than competitors. We hypothesize that firms with intrinsic speed capabilities face low preemption risks and, thus, can afford to wait longer for uncertainty resolution before deciding to enter new markets. This hypothesis is more applicable when investment is associated with higher levels of commitment and, thus, greater option value of waiting. A direct implication is that late entrants with intrinsic speed capabilities should have greater expected post-entry performance. We find support for these hypotheses in the Atlantic Basin liquefied natural gas ( LNG) industry from 1996 to 2007. Copyright © 2013 John Wiley & Sons, Ltd.",FT50,Y
Inferring superior capabilities from sustained superior performance: A Bayesian analysis.,"Denrell, Jerker; Fang, Christina; Zhao, Zhanyun",Strategic Management Journal,01432095,,Feb2013,34,2,182,15,84485223,10.1002/smj.2001,Wiley-Blackwell,Article,Organizational performance; Bayesian analysis; Competitive advantage in business; First-mover advantage; Economic competition; MATHEMATICAL models; Strategic planning; Business planning; Industrial management; Organizational learning; Simulation methods & models; Decision making; Performance,Bayesian methods; chance; organizational learning; path dependence; sustained performance,"To what extent can one infer that superior capabilities are driving sustained superior performance? Modeling performance as some combination of differences in capabilities and processes of cumulative advantage, we argue that a Bayesian framework in which decision makers take into account the differences in cumulative advantage provides for a correct inference. We show, using both simulated and real performance data, that the Bayesian method gives rise to estimates relevant for the inference problem. The estimates also illustrate why a firm with superior performance during a longer period can be less likely to possess superior capabilities than a firm with superior performance during a shorter period. Our work has implications for the origins of competitive advantages and for organization learning in strategy research. Copyright © 2012 John Wiley & Sons, Ltd.",FT50,Y
Is the First to Market the First to Fail? Empirical Evidence for Industrial Goods Businesses.,"Robinson, William T.; Min, Sungwook",Journal of Marketing Research (JMR),00222437,,Feb2002,39,1,120,9,6311129,,American Marketing Association,Article,Success in business; Business failures; Market entry; Marketing strategy; Economic competition; Competitive advantage in business; Market share; First-mover advantage; Follower advantage; Organizational death; Risk assessment; Risk management in business -- Economic aspects,,"When entering a new market, the first entrant typically faces the greatest market and technological uncertainties. Memorable phrases reflect the associated survival risk, such as “the first to market is the first to fail” and “the pioneer is the one with the arrows in its back.” Although research estimates the market pioneer's survival rate, the typical pioneer survival rate has not been compared with that of early followers. The authors' study compares survival rates for 167 first-entrant market pioneers versus 267 early followers. For these industrial goods businesses, 66% of the pioneers versus 48% of the early followers survived at least ten years. The main conclusion is that the pioneer's temporary monopoly over the early followers plus its first-mover advantages typically offset the survival risks associated with market and technological uncertainties. These results are consistent with previous research in the sense that first-mover advantages that increase a pioneer's market share also help protect the pioneer from outright failure.",FT50,Y
MAINTAINABILITY OF FIRST MOVER ADVANTAGES WHEN ENVIRONMENTAL REGULATIONS DIFFER BETWEEN COUNTRIES.,"Nehrt, Chad",Academy of Management Review,03637425,,Jan1998,23,1,77,21,192962,10.5465/AMR.1998.192962,Academy of Management,Article,First-mover advantage; Environmental regulations; Host countries (Business); Green technology; Industrial ecology; Competitive advantage in business; Regulated industries; Environmental economics; United States; Administration of Air and Water Resource and Solid Waste Management Programs; International business enterprises -- Social aspects; Paradigms (Social sciences); Pollution prevention -- Economic aspects,,"Companies in many countries complain of the unfairness of having to compete against foreign rivals facing more lenient environmental regulations. In this article I examine the competitive conditions for firms in such a position. I outline the development of a new pollution-reduction paradigm centered on lowering costs by reducing pollution and, using twelve scenarios of international differences in environmental regulatory regimes faced by first movers and imitators, make propositions on which factors are important to the maintainability of these advantages.",FT50,Y
NONRESPONSE AND DELAYED RESPONSE TO COMPETITIVE MOVES: THE ROLES OF COMPETITOR DEPENDENCE AND ACTION IRREVERSIBILITY.,"Chen, Ming-Jer; MacMillan, Ian C.",Academy of Management Journal,00014273,,Aug1992,35,3,539,32,4408336,10.2307/256486,Academy of Management,Article,Competitive advantage in business; Market entry; Economic competition; Marketing strategy; Game theory; Competitor orientation; Market share; First-mover advantage; Market orientation; Reaction time,,"Competitive moves that are unchallenged or to which response is delayed are important weapons in a strategist's arsenal, so variables that discourage or delay response are of great interest. Using a game theoretic framework, this study investigated the effects on dimensions of competitive response of competitor dependence on a market under attack and the irreversibility of an aggressor's move. The hypothesized relationships were tested with data on competitive moves by U.S. airlines. The results suggest that competitor dependence depresses chances of nonresponse and increases response delay and the likelihood that a responder will match a move. Action irreversibility generally has the opposite effect. In addition, the interaction of competitor dependence and action irreversibility is significant. Analyses of the performance implications of competitive exchange indicated that attackers and early responders gain market share at the expense of late responders and nonresponders.",FT50,Y
Order of Entry and the Moderating Role of Comparison Brands in Brand Extension Evaluation.,"Oakley, James L.; Duhachek, Adam; Balachander, Subramanian; Sriram, S.",Journal of Consumer Research,00935301,,Feb2008,34,5,706,7,29984895,,Oxford University Press / USA,Article,Brand name products; Follower advantage; Market entry; Consumer behavior; First-mover advantage; Category management; Analysis of variance; All Other Consumer Goods Rental; Competition; Consumer goods -- Evaluation; Evaluation research; Context effects (Psychology); Contrast effect,,"The current research proposes that order of entry moderates the impact of fit on brand extension evaluation. We conceptualize a model in which new brands enter the market dynamically, driving consumers to engage in differential processing as a function of pioneer and follower evaluation scenarios. We posit that consumers rely on singular evaluative processing in pioneer contexts and comparative evaluation in follower contexts, producing unique moderating effects based on the existence of comparison brands. Experimental results indicate that follower brands can actually benefit from comparison with pioneering brands that have a relatively lower fit with the extension category.",FT50,Y
ORGANIZATIONAL IMPROVISATION AND ORGANIZATIONAL MEMORY.,"Moorman, Christine; Miner, Anne S.",Academy of Management Review,03637425,,Oct98,23,4,698,26,1255634,10.5465/AMR.1998.1255634,Academy of Management,Article,Organizational learning; Core competencies; Innovation management; First-mover advantage; Organizational sociology; Agency theory; Improvisation in music; Collective action; Change agents; Psychology of learning; Tacit knowledge; Communities of practice; Adaptability (Psychology),,"We define organizational improvisation as the degree to which the composition and execution of an action converge in time, and we examine the theoretical potential of this definition. We then propose that both organizational procedural memory (skill knowledge) and declarative memory (fact knowledge) moderate improvisation's impact on organizational outcomes in distinct ways. We also suggest that improvisation influences organizational memory by (1) generating experiments and (2) permitting the development of higher-level competency in improvisation. Contemporary technological changes related to the nature of organizational memory intensify the salience of these issues.",FT50,Y
Speed Matters: The Role of Free Software Offer in Software Diffusion.,"Jiang, Zhengrui; Sarkar, Sumit",Journal of Management Information Systems,07421222,,Winter2009,26,3,207,33,48213804,,Taylor & Francis Ltd,Article,"Freeware (Computer software); Diffusion of innovations; Net present value; Pricing; Mathematical optimization; Marketing strategy; Computer software industry; Samples (Commerce); Competitive advantage in business; First-mover advantage; New product development -- Marketing; Open source software; Software publishers (except video game publishers); Software Publishers; Computer and software stores; Computer, computer peripheral and pre-packaged software merchant wholesalers; Computer and Computer Peripheral Equipment and Software Merchant Wholesalers; Marketing Consulting Services; Advertising Material Distribution Services",Bass model; diffusion of innovations; dynamic pricing; free software,"Many software products are available free of charge. While the benefits resulting from network externality have been examined in the related literature, the effect of free offer on the diffusion of new software has not been formally analyzed. We show in this study that even if other benefits do not exist, a software firm can still benefit from giving away fully functioning software. This is due to the accelerated diffusion process and subsequently the increased net present value of future sales. By adapting the Bass diffusion model to capture the impact of free software offer, we provide a methodology to determine the optimal number of free adopters. We show that the optimal free offer solution depends on the discount rate, the length of the demand window, and the ratio of low-valuation to high-valuation free adopters. Our methodology is shown to be applicable for both fixed and dynamic pricing strategies.",FT50,Y
Survival in Markets with Network Effects: Product Compatibility and Order-of-Entry Effects.,"Wang, Qi; Chen, Yubo; Xie, Jinhong",Journal of Marketing,00222429,,Jul2010,74,4,1,14,51168743,10.1509/jmkg.74.4.1,American Marketing Association,Article,Network effect; Follower advantage; Consumer goods; Competitive advantage in business; First-mover advantage; New product development; Value (Economics); Commercial products; Market entry; Market pricing; Marketing strategy; Product launches; Commodity Contracts Brokerage; Commodity Contracts Dealing; All Other Consumer Goods Rental; Marketing Consulting Services,network effects; order-of-entry effects; product compatibility; survival analysis,"This article proposes a new conceptual framework in which the impact of network effects (NE) on a pioneer's survival advantage compared with its early followers can be positive or negative depending on two important but previously ignored market characteristics: (1) cross-generation product compatibility and (2) within-generation product compatibility. The authors empirically test the theoretical predictions using data from 45 NE markets. They show that these two types of compatibility affect the pioneer's survival advantage in opposite directions and that such directions are reversed when NE changes from extremely strong to extremely weak. Specifically, in markets with strong NE, cross-generation incompatibility harms but within-generation incompatibility favors the pioneer's survival advantage. Consequently, pioneers are likely to enjoy a survival advantage when their product is cross-generation compatible but within-generation incompatible. However, in markets with weak NE, pioneer survival advantage is likely to occur under opposite conditions (i.e., cross-generation incompatible but within-generation compatible). The policy analysis further suggests that the best survival condition for pioneers often turns out to be the worst for followers in these markets.",FT50,Y
The Complexity of Identity.,"Reed II, Americus; Bolton, Lisa E.",MIT Sloan Management Review,15329194,,Spring2005,46,3,18,4,17387746,,Sloan Management Review,Article,Marketing; Demography; Consumption (Economics); Consumers; Commercial products; Commodity Contracts Dealing; Commodity Contracts Brokerage; Marketing Consulting Services; Social role,,"People categorize themselves on the basis of demographics, social roles and shared consumption patterns, and these various identities are both numerous and fluid, changing over an individual's lifetime and across situations. That fact is not fully recognized by traditional demographic and psychographic techniques, and the labels that consumers use to define who they are do not necessarily correspond to the variables that marketers typically rely on. A new approach -- identity marketing -- better captures the complex process of how people's sense of who they are influences their purchase decisions. To be sure, the complexity of identity-based judgments presents both opportunities and obstacles for marketers, but companies often fail to appreciate this. In fact, many marketing blunders can be traced back to a fundamental misunderstanding of customer identity. Common mistakes include the following: (1) selling new products solely on their features, (2) failing to solidify first-mover advantage, (3) fighting the competition head-on, (4) sticking with what's worked before, (5) underestimating low-involvement products, and (6) attacking negative word-of-mouth. Identity marketing helps companies avoid such mistakes by providing a deeper understanding of how customers become strongly attracted to the brands and products that are linked to their multiple -- and sometimes seemingly contradictory -- identities.",FT50,Y
THE PARENTING PARADOX: HOW MULTIBUSINESS DIVERSIFIERS ENDORSE DISRUPTIVE TECHNOLOGIES WHILE THEIR CORPORATE CHILDREN STRUGGLE.,"LANGE, DONALD; BOIVIE, STEVEN; HENDERSON, ANDREW D.",Academy of Management Journal,00014273,,Feb2009,52,1,179,20,36462006,10.5465/AMJ.2009.36462006,Academy of Management,Article,Technological innovations; Conglomerate corporations; Diversification in industry; Business planning; Diversified companies; Industrial organization (Economic theory); Parent companies; Marketing strategy; First-mover advantage; Competitive advantage in business; Barriers to entry (Industrial organization); Success in business; Business failures; Diffusion of innovations; Innovation adoption; Offices of Other Holding Companies; Disruptive technologies,,"We examine the role of multibusiness corporations in the development of young industries. We propose and find that established firms diversifying into a new industry that owes its birth to a disruptive technological change give birth to corporate children that are both weaker survivors than freestanding start-ups and stronger legitimators of the industry as a whole. Thus, corporate parents promote the survival of other organizations in this type of young industry while hindering the survival of their own offspring. Using event history models, we examine this paradox in the U.S. personal computer industry from 1975 through 1994.",FT50,Y
